title,season,episode,description,rating,total_vote,airdate,runtime,list_of_the_cast
The Heartbreak,1 ,19,"On Valentine's Day, everyone is preparing for the Valentine's singles benefit dance. Luke has a new crush: that being Marissa's mother Julie. Meanwhile, Sandy gives Seth some sex advice ...
                    See full summary »",8.3/10,420,Episode aired 18 February 2004,43min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood (as Benjamin McKenzie)
  Mischa Barton  as  Marissa Cooper
Adam Brody  as  Seth Cohen
Chris Carmack  as  Luke Ward
Melinda Clarke  as  Julie Cooper
Rachel Bilson  as  Summer Roberts
Tate Donovan  as  Jimmy Cooper
Amanda Righetti  as  Hailey Nichol
Navi Rawat  as  Theresa Diaz
Sage Kirkpatrick  as  Alexis
Danielle Riffenburgh  as  High School Student"
The Model Home,1 ,2,Ryan decides to run away from Newport before he can be put into foster care. Seth and Marissa help him find a place to stay without being found.,8.5/10,623,Episode aired 12 August 2003,43min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood (as Benjamin McKenzie)
  Mischa Barton  as  Marissa Cooper
Adam Brody  as  Seth Cohen
Chris Carmack  as  Luke Ward
Tate Donovan  as  Jimmy Cooper
Melinda Clarke  as  Julie Cooper
Rachel Bilson  as  Summer Roberts
Ashley Hartman  as  Holly Fischer
Adam Grimes  as  Nordlund
Josh Kloss  as  Chip Saunders
Shailene Woodley  as  Kaitlin Cooper
Dwight Hicks  as  Sheriff
Steven M. Gagnon  as  Arson Investigator"
The Telenovela,1 ,20,"The Ryan-Marissa thing is more iffy than ever when Theresa hangs in Newport. The telenovela-like suds-o-rama overflows with the Seth-Summer follies, the Luke-Julie fling and an insider who may be a threat to the Caleb-Kirsten biz.",8.1/10,417,Episode aired 25 February 2004,43min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood (as Benjamin McKenzie)
  Mischa Barton  as  Marissa Cooper
Adam Brody  as  Seth Cohen
Chris Carmack  as  Luke Ward
Melinda Clarke  as  Julie Cooper
Rachel Bilson  as  Summer Roberts
Tate Donovan  as  Jimmy Cooper
Samaire Armstrong  as  Anna Stern
Alan Dale  as  Caleb Nichol
Navi Rawat  as  Theresa Diaz
Richard Herd  as  Bill Shaughnessy /   Uncle Shaun
Eric Balfour  as  Eddie
Wilson Bethel  as  Brad (as Will Bethel)"
The Goodbye Girl,1 ,21,Anna is leaving. Theresa is staying. Seth thinks he's the reason for Anna's planned return to Pittsburgh. And Ryan knows he's why Theresa is staying. But what is either guy going to do about it? Caleb is Riviera's Man of the Year (uh-oh).,8.4/10,432,Episode aired 3 March 2004,44min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood (as Benjamin McKenzie)
  Mischa Barton  as  Marissa Cooper
Adam Brody  as  Seth Cohen
Chris Carmack  as  Luke Ward
Melinda Clarke  as  Julie Cooper
Rachel Bilson  as  Summer Roberts
Tate Donovan  as  Jimmy Cooper
Samaire Armstrong  as  Anna Stern
Alan Dale  as  Caleb Nichol
Navi Rawat  as  Theresa Diaz
Lamont Thompson  as  Greg Hoades
Eric Balfour  as  Eddie
Shailene Woodley  as  Kaitlin Cooper"
The L.A.,1 ,22,Operation Protect Marissa! Seth and Ryan plan to keep Marissa from finding out about her mom's affair. It also becomes Operation Rescue Hailey when they inadvertently attend a Hollywood party where she's a stripper.,7.4/10,487,Episode aired 24 March 2004,44min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood (as Benjamin McKenzie)
  Mischa Barton  as  Marissa Cooper
Adam Brody  as  Seth Cohen
Chris Carmack  as  Luke Ward
Melinda Clarke  as  Julie Cooper
Rachel Bilson  as  Summer Roberts
Tate Donovan  as  Jimmy Cooper
Paris Hilton  as  Kate
Amanda Righetti  as  Hailey Nichol
Alan Dale  as  Caleb Nichol
Al Sapienza  as  Luna Chicks Club Owner
Colin Hanks  as  Grady Bridges
John David Conti  as  Manager"
The Nana,1 ,23,"Marissa runs away after learning a heartbreaking truth, to a place where only Ryan could find her. Sandy's mother visits for Passover.",8.0/10,396,Episode aired 31 March 2004,44min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood (as Benjamin McKenzie)
  Mischa Barton  as  Marissa Cooper
Adam Brody  as  Seth Cohen
Chris Carmack  as  Luke Ward
Melinda Clarke  as  Julie Cooper
Rachel Bilson  as  Summer Roberts
Tate Donovan  as  Jimmy Cooper
Linda Lavin  as  Sophie Cohen
Amanda Righetti  as  Hailey Nichol
Navi Rawat  as  Theresa Diaz
Eric Balfour  as  Eddie
Cynthia Avila  as  Eva"
The Proposal,1 ,24,"Engagement announcements are joyful news, right? Not when it means the one person Kirsten despises will become her stepmom. And not when Marissa will have a new family arrangement she doesn't want.",8.0/10,386,Episode aired 14 April 2004,44min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood (as Benjamin McKenzie)
  Mischa Barton  as  Marissa Cooper
Adam Brody  as  Seth Cohen
Chris Carmack  as  Luke Ward
Melinda Clarke  as  Julie Cooper
Rachel Bilson  as  Summer Roberts
Tate Donovan  as  Jimmy Cooper
Amanda Righetti  as  Hailey Nichol
Alan Dale  as  Caleb Nichol
Brian McNamara  as  Carson Ward
Doug Ballard  as  Peter Johnson
Zuzana Monroe  as  Wedding Guest (as Zuzana Hibdon)
  Evis Xheneti  as  Wedding Guest"
The Shower,1 ,25,Julie's wedding shower is anything but uneventful. Seth has lunch with Summer's dad.,7.7/10,376,Episode aired 21 April 2004,43min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood (as Benjamin McKenzie)
  Mischa Barton  as  Marissa Cooper
Adam Brody  as  Seth Cohen
Chris Carmack  as  Luke Ward (credit only)
  Melinda Clarke  as  Julie Cooper
Rachel Bilson  as  Summer Roberts
Tate Donovan  as  Jimmy Cooper
Amanda Righetti  as  Hailey Nichol
Navi Rawat  as  Theresa Diaz
Holly Fields  as  Aunt Cindy
Michael Nouri  as  Dr. Neil Roberts
Danielle Bisutti  as  Joan
Alan Dale  as  Caleb Nichol"
The Strip,1 ,26,"The Cohen men, along with Ryan and Caleb set out to Las Vegas for a bachelor party. Meanwhile, the girls are having fun with their own adventures.",8.2/10,407,Episode aired 28 April 2004,43min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood (as Benjamin McKenzie)
  Mischa Barton  as  Marissa Cooper
Adam Brody  as  Seth Cohen
Chris Carmack  as  Luke Ward (credit only)
  Melinda Clarke  as  Julie Cooper
Rachel Bilson  as  Summer Roberts
Tate Donovan  as  Jimmy Cooper
Amanda Righetti  as  Hailey Nichol
Navi Rawat  as  Theresa Diaz
Kristen Renton  as  Jenn
Kevin Rankin  as  Lucas
Alan Dale  as  Caleb Nichol
Gwendoline Yeo  as  Sara /   Amy"
The Ties That Bind,1 ,27,"On Julie and Caleb's big day, Ryan may be leaving Newport forever. Everyone handles it differently.",8.9/10,589,Episode aired 5 May 2004,43min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood (as Benjamin McKenzie)
  Mischa Barton  as  Marissa Cooper
Adam Brody  as  Seth Cohen
Chris Carmack  as  Luke Ward (credit only)
  Melinda Clarke  as  Julie Cooper-Nichol
Rachel Bilson  as  Summer Roberts
Tate Donovan  as  Jimmy Cooper
Amanda Righetti  as  Hailey Nichol
Navi Rawat  as  Theresa Diaz
Holly Fields  as  Cindy
Alan Dale  as  Caleb Nichol
Shailene Woodley  as  Kaitlin Cooper
Hamilton Mitchell  as  Reverend Donahue"
The Gamble,1 ,3,Ryan's mother arrives in Newport.,8.2/10,536,Episode aired 19 August 2003,44min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood (as Benjamin McKenzie)
  Mischa Barton  as  Marissa Cooper
Adam Brody  as  Seth Cohen
Chris Carmack  as  Luke Ward
Tate Donovan  as  Jimmy Cooper
Melinda Clarke  as  Julie Cooper
Rachel Bilson  as  Summer Roberts
Daphne Ashbrook  as  Dawn Atwood
Kimberly Oja  as  Taryn Baker (as Kim Oja)
  Francis Capra  as  Z
Adam Grimes  as  Nordlund
Josh Kloss  as  Chip Saunders
Devin Mills  as  Karen"
The Debut,1 ,4,"It's the annual Cotillon Ball. Ryan continues to pursue Marissa, Seth makes friends with a newcomer, and Jimmy finds himself in hot water.",8.3/10,538,Episode aired 26 August 2003,44min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood (as Benjamin McKenzie)
  Mischa Barton  as  Marissa Cooper
Adam Brody  as  Seth Cohen
Chris Carmack  as  Luke Ward
Tate Donovan  as  Jimmy Cooper
Melinda Clarke  as  Julie Cooper
Rachel Bilson  as  Summer Roberts
Christopher Cousins  as  Greg Fischer
Samaire Armstrong  as  Anna Stern
Ruth Williamson  as  Peggy
Ashley Hartman  as  Holly Fischer
Adam Grimes  as  Nordlund
Shailene Woodley  as  Kaitlin Cooper"
The Outsider,1 ,5,"Ryan takes a job at the Crab Shack diner where a co-worker, named Donnie, might mean bad news for the Newport kids when he takes Ryan and Seth out to party queen Holly Fischer's parties ...
                    See full summary »",7.9/10,492,Episode aired 2 September 2003,44min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood (as Benjamin McKenzie)
  Mischa Barton  as  Marissa Cooper
Adam Brody  as  Seth Cohen
Chris Carmack  as  Luke Ward
Tate Donovan  as  Jimmy Cooper
Melinda Clarke  as  Julie Cooper
Rachel Bilson  as  Summer Roberts
Paul Wesley  as  Donnie (as Paul Wasilewski)
  Kimberly Oja  as  Taryn Baker (as Kim Oja)
  Ashley Hartman  as  Holly Fischer
Kimberly Stanphill  as  Betsy
Devin Mills  as  Karen
Robert A. Guthrie  as  Crowbar Kid (as Robert Guthrie)"
The Girlfriend,1 ,6,"On his birthday, Kirsten's father pays a visit to Newport with his 24-year-old girlfriend, but things get messy when the girlfriend makes advances towards Ryan.",8.2/10,499,Episode aired 9 September 2003,44min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood (as Benjamin McKenzie)
  Mischa Barton  as  Marissa Cooper
Adam Brody  as  Seth Cohen
Chris Carmack  as  Luke Ward
Tate Donovan  as  Jimmy Cooper
Melinda Clarke  as  Julie Cooper
Rachel Bilson  as  Summer Roberts
Alan Dale  as  Caleb Nichol
Nichole Hiltz  as  Gabrielle"
The Escape,1 ,7,"Ryan, Seth, Marissa, and Summer plan a trip to Tijuana. The trip descends into chaos when secrets are revealed and lives are put on the line.",8.4/10,518,Episode aired 16 September 2003,44min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood (as Benjamin McKenzie)
  Mischa Barton  as  Marissa Cooper
Adam Brody  as  Seth Cohen
Chris Carmack  as  Luke Ward
Tate Donovan  as  Jimmy Cooper
Bonnie Somerville  as  Rachel Hoffman
Rachel Bilson  as  Summer Roberts
Ashley Hartman  as  Holly Fischer
Danielle Riffenburgh  as  High School Student"
The Rescue,1 ,8,"It can't stay in Mexico. Not after heartbroken Marissa took all those pills. And not with Marissa's mom trying to have her institutionalized - something Ryan, Seth, Summer and Marissa don't want to happen.",8.0/10,454,Episode aired 29 October 2003,44min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood (as Benjamin McKenzie)
  Mischa Barton  as  Marissa Cooper
Adam Brody  as  Seth Cohen
Chris Carmack  as  Luke Ward
Tate Donovan  as  Jimmy Cooper
Bonnie Somerville  as  Rachel Hoffman
Melinda Clarke  as  Julie Cooper
Rachel Bilson  as  Summer Roberts
Rosalind Chao  as  Dr. Kim
April Grace  as  Dr. Burke
Danielle Riffenburgh  as  High School Student"
The Heights,1 ,9,Calculus. AP English. History. The ways of the human heart. Not everything learned at Harbor High is on the schedule of classes. The Cohen casa is a house divided when Sandy takes an environmental case against Kirsten's father.,8.2/10,462,Episode aired 5 November 2003,43min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood (as Benjamin McKenzie)
  Mischa Barton  as  Marissa Cooper
Adam Brody  as  Seth Cohen
Chris Carmack  as  Luke Ward
Tate Donovan  as  Jimmy Cooper (credit only)
  Bonnie Somerville  as  Rachel Hoffman
Rachel Bilson  as  Summer Roberts
Samaire Armstrong  as  Anna Stern
Rosalind Chao  as  Dr. Kim
Josh Kloss  as  Chip Saunders
Eric Allan Kramer  as  Soccer Coach
Ashley Hartman  as  Holly Fischer
Melissa Strom  as  Girl #1"
The Distance,2 ,1,"It's been three months since Ryan left to live with the pregnant Theresa in Chino, and Seth subsequently sailed off to Portland to live with Luke and his divorced, gay father. With one week...
                    See full summary »",8.2/10,389,Episode aired 4 November 2004,44min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood
Mischa Barton  as  Marissa Cooper
Adam Brody  as  Seth Cohen
Melinda Clarke  as  Julie Cooper-Nichol
Rachel Bilson  as  Summer Roberts
Alan Dale  as  Caleb Nichol
Tate Donovan  as  Jimmy Cooper
Chris Carmack  as  Luke Ward
Brian McNamara  as  Carson Ward
Navi Rawat  as  Theresa Diaz
Nicholas Gonzalez  as  D.J.
Bruno Amato  as  Archie
Cynthia Avila  as  Eva"
The Accomplice,2 ,10,"Hostilties heat up between Sandy and Kirsten when Sandy decides to help Max Bloom, his mentor in law school, find his daughter, Rebecca, whom was Sandy's first love. Meanwhile, Seth and ...
                    See full summary »",7.7/10,351,Episode aired 27 January 2005,44min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood
Mischa Barton  as  Marissa Cooper
Adam Brody  as  Seth Cohen
Melinda Clarke  as  Julie Cooper-Nichol (voice)
  Rachel Bilson  as  Summer Roberts
Alan Dale  as  Caleb Nichol
Michael Cassidy  as  Zach Stevens
Shannon Lucio  as  Lindsay Gardner
Emmanuelle Chriqui  as  Jodie
Jeffrey Dean Morgan  as  Joe Zukowski
Barry Newman  as  Professor Max Bloom
Olivia Wilde  as  Alex Kelly
Natalie Blalock  as  Gail Van Deepen"
The Second Chance,2 ,11,"After hearing about Lindsay and Ryan's failed attempt at dinner with Caleb the night before, Kirsten arranges a dinner that she can supervise. But her presence makes no difference when the ...
                    See full summary »",7.7/10,332,Episode aired 3 February 2005,43min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood
Mischa Barton  as  Marissa Cooper
Adam Brody  as  Seth Cohen
Rachel Bilson  as  Summer Roberts
Melinda Clarke  as  Julie Cooper (credit only)
  Alan Dale  as  Caleb Nichol
Kim Delaney  as  Rebecca Bloom
Michael Cassidy  as  Zach Stevens
Shannon Lucio  as  Lindsay Gardner
Barry Newman  as  Professor Max Bloom
Olivia Wilde  as  Alex Kelly
Bruce Katzman  as  Dr. Stephen Lasser
David Di Brienza  as  Upscale Party Guest (as David DiBrienza) (credit only)"
The Lonely Hearts Club,2 ,12,"On Valentine's Day, Sandy and Kirsten's conflict about Rebecca continues. Ryan tries to make peace with Caleb in order to spend Valentines Day with Lindsay. Meanwhile, Seth, Zach, and ...
                    See full summary »",7.7/10,346,Episode aired 10 February 2005,43min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood
Mischa Barton  as  Marissa Cooper
Adam Brody  as  Seth Cohen
Melinda Clarke  as  Julie Cooper-Nichol
Rachel Bilson  as  Summer Roberts
Alan Dale  as  Caleb Nichol
Kim Delaney  as  Rebecca Bloom
Michael Cassidy  as  Zach Stevens
Shannon Lucio  as  Lindsay Gardner
T.J. Thyne  as  Larry Bernstein
Barry Newman  as  Professor Max Bloom
Olivia Wilde  as  Alex Kelly
Samantha Quan  as  Assistant"
The Father Knows Best,2 ,13,"As Sandy continues working on Rebecca's case, Kirsten questions how strong their feelings are for one another. Meanwhile, Seth continues his downward spiral in the aftermath of Zach and ...
                    See full summary »",7.6/10,323,Episode aired 17 February 2005,43min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood
Mischa Barton  as  Marissa Cooper
Adam Brody  as  Seth Cohen
Melinda Clarke  as  Julie Cooper-Nichol
Rachel Bilson  as  Summer Roberts
Alan Dale  as  Caleb Nichol
Kim Delaney  as  Rebecca Bloom
Michael Cassidy  as  Zach Stevens
Shannon Lucio  as  Lindsay Gardner
Christopher Lawford  as  Ross
Kathleen York  as  Renee Wheeler
Olivia Wilde  as  Alex Kelly
Danielle Bisutti  as  Joan"
The Rainy Day Women,2 ,14,"Rain - and it seems there are as many problems as raindrops. Kirsten, Sandy...and Rebecca. Julie, Marissa...and Alex. Lindsay, Ryan...and Chicago. Summer, Seth...and Italy. Can't rain forever, can it?",8.9/10,490,Episode aired 24 February 2005,43min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood
Mischa Barton  as  Marissa Cooper
Adam Brody  as  Seth Cohen
Melinda Clarke  as  Julie Cooper-Nichol
Rachel Bilson  as  Summer Roberts
Alan Dale  as  Caleb Nichol (credit only)
  Kim Delaney  as  Rebecca Bloom
Michael Cassidy  as  Zach Stevens
Shannon Lucio  as  Lindsay Gardner
Jordan Baker  as  Elaine Stevens
Devin Sidell  as  Abigail Stevens
Kathleen York  as  Renee Wheeler
Olivia Wilde  as  Alex Kelly"
The Mallpisode,2 ,15,"The gang get the chance to have a few heart-to-hearts when they're accidentally locked in a mall for the night. Marissa and Summer catch up about the state of their current love lives, ...
                    See full summary »",8.2/10,381,Episode aired 10 March 2005,42min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood
Mischa Barton  as  Marissa Cooper
Adam Brody  as  Seth Cohen
Melinda Clarke  as  Julie Cooper-Nichol
Rachel Bilson  as  Summer Roberts
Alan Dale  as  Caleb Nichol
Billy Campbell  as  Carter Buckley
Amber Heard  as  Salesgirl
Johnny Messner  as  Lance Baldwin
Olivia Wilde  as  Alex Kelly
Shaun Cozzens  as  Pizza Guy
Carrie Ann Nagy  as  Clare the Receptionist
John Michael Vaughn  as  Security Guard"
